"site"	"transect"	"position"	"year"	"seedlingNumber"	"fruitplNumber"
"BG"	"I"	"1"	2012	1	2
"BG"	"I"	"2"	2010	2	3
"BG"	"I"	"3"	2018	0	6
"BG"	"I"	"4"	2008	8	12
"BG"	"I"	"4"	2018	5	8
"BG"	"I"	"5"	2018	0	1
"BG"	"I"	"6"	2010	5	13
"BG"	"I"	"6"	2018	0	3
"BG"	"II"	"1"	2010	0	4
"BG"	"II"	"1"	2018	3	5
"BG"	"II"	"2"	2007	1	2
"BG"	"II"	"2"	2018	0	1
"BG"	"II"	"3"	2008	0	1
"BG"	"II"	"3"	2018	0	1
"BG"	"II"	"7"	2018	0	2
"BG"	"III"	"1"	2007	2	6
"BG"	"III"	"2"	2007	0	2
"BG"	"III"	"5"	2018	0	1
"BG"	"III"	"6"	2018	3	6
"BR"	"I"	"2"	2018	4	7
"BR"	"I"	"3"	2010	22	34
"BR"	"I"	"3"	2014	0	1
"BR"	"I"	"3"	2018	0	5
"BR"	"I"	"4"	2014	0	1
"BR"	"I"	"5"	2019	12	13
"BR"	"I"	"6"	2018	0	4
"BR"	"I"	"7"	2019	9	17
"BR"	"II"	"1"	2018	0	2
"BR"	"II"	"2"	2010	10	30
"BR"	"II"	"2"	2018	0	1
"BR"	"II"	"3"	2010	17	26
"BR"	"II"	"3"	2014	0	2
"BR"	"II"	"3"	2018	3	4
"BR"	"II"	"3"	2019	49	53
"BR"	"II"	"4"	2012	0	1
"BR"	"II"	"4"	2018	0	2
"BR"	"II"	"6"	2010	38	44
"BR"	"II"	"6"	2018	0	2
"BR"	"II"	"7"	2010	4	9
"BR"	"II"	"7"	2018	1	5
"BR"	"II"	"8"	2010	36	46
"BR"	"II"	"8"	2018	13	14
"BR"	"III"	"1"	2014	0	1
"BR"	"III"	"1"	2018	0	3
"BR"	"III"	"2"	2018	0	1
"BR"	"III"	"3"	2018	0	1
"BR"	"III"	"4"	2019	1	4
"BR"	"III"	"6"	2018	10	11
"BR"	"III"	"7"	2018	1	4
"BR"	"IV"	"1"	2016	0	1
"BR"	"IV"	"1"	2018	1	2
"BR"	"IV"	"2"	2008	5	9
"BR"	"IV"	"3"	2007	8	10
"BR"	"IV"	"3"	2010	6	10
"BR"	"IV"	"4"	2010	6	22
"BR"	"IV"	"4"	2019	3	6
"BR"	"IV"	"5"	2008	5	28
"BR"	"IV"	"5"	2010	32	33
"BR"	"IV"	"5"	2018	0	4
"BR"	"IV"	"6"	2010	16	18
"BR"	"IV"	"6"	2018	0	2
"BR"	"IV"	"7"	2008	8	23
"BR"	"IV"	"7"	2018	0	1
"CF"	"I"	"1"	2019	0	1
"CF"	"I"	"2"	2019	2	3
"CF"	"I"	"3"	2014	1	2
"CF"	"I"	"5"	2010	7	10
"CF"	"I"	"6"	2009	1	3
"CF"	"I"	"6"	2017	0	2
"CF"	"I"	"6"	2019	1	2
"CF"	"I"	"7"	2011	0	1
"CF"	"II"	"2"	2010	8	9
"CF"	"II"	"3"	2010	1	2
"CF"	"II"	"6"	2010	6	9
"CF"	"II"	"7"	2008	1	8
"CF"	"III"	"3"	2011	0	10
"CF"	"III"	"5"	2007	0	1
"CF"	"III"	"6"	2010	27	32
"CF"	"IV"	"4"	2007	0	2
"CF"	"IV"	"5"	2008	2	5
"CP3"	"II"	"1"	2009	1	3
"CP3"	"II"	"1"	2011	0	1
"CP3"	"II"	"5"	2007	4	5
"CP3"	"II"	"6"	2008	2	3
"CP3"	"III"	"1"	2008	2	4
"CP3"	"III"	"4"	2008	0	2
"CP3"	"III"	"4"	2014	0	1
"CP3"	"III"	"5"	2008	0	2
"CP3"	"III"	"7"	2009	1	3
"DEM"	"I"	"3"	2019	0	3
"DEM"	"I"	"6"	2010	0	3
"DEM"	"I"	"7"	2018	4	10
"DEM"	"I"	"8"	2008	0	2
"DEM"	"I"	"8"	2018	0	12
"DEM"	"II"	"2"	2010	0	2
"DEM"	"II"	"2"	2018	0	19
"DEM"	"II"	"3"	2010	1	4
"DEM"	"II"	"3"	2018	20	22
"DEM"	"II"	"4"	2008	0	1
"DEM"	"II"	"4"	2010	4	5
"DEM"	"II"	"5"	2010	1	2
"DEM"	"II"	"6"	2010	0	1
"DEM"	"II"	"8"	2019	0	1
"DEM"	"III"	"6"	2007	0	1
"DEM"	"III"	"8"	2010	0	1
"DEM"	"IV"	"1"	2007	0	8
"DEM"	"IV"	"2"	2007	1	2
