"site"	"bagNo"	"round"	"age"	"block"	"germStart"	"germCount"	"viabStart"	"viabStain"	"viabTotal"	"bag"
"LO"	8	1	1	16	1	0	NA	NA	0	8
"CF"	8	1	1	5	15	7	9	8	0.940740740740741	8
"CF"	7	1	3	11	3	2	3	0	0.666666666666667	7
"DLW"	29	1	1	5	15	6	10	9	0.94	29
"DLW"	29	1	1	10	14	5	10	4	0.614285714285714	29
"FR"	1	1	1	9	15	10	6	4	0.888888888888889	1
"FR"	27	1	1	10	15	8	8	1	0.591666666666667	27
"FR"	2	1	2	7	15	7	10	9	0.946666666666667	2
"GCN"	11	1	2	5	15	11	9	8	0.97037037037037	11
"GCN"	47	2	2	9	15	6	10	6	0.76	47
"KYE"	3	1	1	13	15	10	6	5	0.944444444444445	3
"KYE"	9	1	3	11	15	6	10	9	0.94	9
"LCE"	26	1	2	4	15	6	10	0	0.4	26
"LCE"	30	1	2	6	15	8	10	7	0.86	30
"LCW"	14	1	1	14	3	0	4	0	0	14
"LCW"	27	1	1	10	15	12	4	2	0.9	27
"MC"	28	1	1	10	4	3	2	0	0.75	28
"MC"	23	1	2	8	15	12	7	1	0.828571428571429	23
"OKRE"	57	2	1	4	15	12	4	3	0.95	57
"OKRE"	22	1	2	4	15	14	2	0	0.933333333333333	22
"OKRW"	19	1	2	7	15	13	4	0	0.866666666666667	19
"OSR"	17	1	2	12	15	6	10	4	0.64	17
"SM"	21	1	1	8	10	1	10	2	0.28	21
"URS"	13	1	2	1	15	8	8	3	0.708333333333333	13
