site,year,med,ci.lo,ci.hi,X
BG,2006,3.15268623,2.773769921,3.562330039,3.104575163
BR,2006,6.532161525,5.982506157,7.159625358,6.553008596
CF,2006,5.354989341,4.800210738,5.948493567,5.375886525
CP3,2006,6.941602961,6.308369298,7.627093918,6.992831541
DEM,2006,14.22848137,12.48585739,16.34605786,14.37288136
DLW,2006,7.455671137,6.577639444,8.457826717,7.524038462
EC,2006,3.989651789,3.698134237,4.30965669,4.013513514
FR,2006,7.131835735,6.423082179,8.000794273,7.291187739
GCN,2006,6.078083121,5.45828312,6.803809254,6.108333333
KYE,2006,6.346653961,5.686485212,7.101855747,6.438596491
LCE,2006,11.79315312,10.59163006,13.1866126,11.83333333
LCW,2006,18.08919012,16.27482925,20.16313521,18.10699588
LO,2006,7.738954404,6.465540268,9.338107877,7.755102041
MC,2006,10.26011846,9.031424824,11.7801481,10.5398773
OKRE,2006,4.471895512,3.805109656,5.291607788,4.42
OKRW,2006,6.051018907,5.560123468,6.610165751,6.057142857
OSR,2006,4.931894816,4.477180702,5.448628947,4.960288809
S22,2006,5.213478064,4.787006931,5.714621556,5.219435737
SM,2006,6.957143112,6.228108747,7.755384547,7.064516129
URS,2006,14.55501554,10.70509104,20.02375105,14.875
BG,2007,3.802711089,3.323638485,4.380295208,5.930232558
BR,2007,3.246802936,2.918351054,3.626268805,3.174887892
CF,2007,6.985506526,6.129516946,7.945440906,7.181818182
CP3,2007,4.523177873,4.093326072,5.017394327,4.422907489
DEM,2007,6.492556504,5.313614014,8.169399105,9.053333333
DLW,2007,4.758033556,4.233220459,5.352085928,4.661538462
EC,2007,2.841887609,2.544167239,3.171305986,2.611398964
FR,2007,4.923715407,4.367161371,5.557422941,6.077464789
GCN,2007,3.452938427,3.104008056,3.829879333,3.443786982
KYE,2007,2.961086749,2.68490091,3.257948652,2.943127962
LCE,2007,16.33251233,14.58834709,18.40787849,16.4372093
LCW,2007,6.566135745,5.846362697,7.412365235,7.9
LO,2007,22.77303661,19.07897036,27.41944884,22.89380531
