"site","year","med","ci.lo","ci.hi"
"BG",2006,3.15268622984156,2.77376992119223,3.56233003928008
"BG",2007,3.80271108861333,3.32363848505753,4.38029520757686
"BG",2008,3.62967948472898,3.26138981284101,4.03734229951738
"BG",2009,3.0679293920275,2.7188457338982,3.45290805269006
"BG",2010,4.6793817038863,4.14960171313705,5.27359646839631
"BG",2011,4.16878855648329,3.54781333938803,4.89593091275069
"BG",2012,6.273653322316,5.15692560621592,7.6765459611984
"BR",2006,6.53216152532003,5.98250615748535,7.1596253581466
"BR",2007,3.24680293649201,2.91835105443179,3.62626880508741
"BR",2008,2.39697805743538,2.26361505060705,2.542448588433
"BR",2009,1.51105775191074,1.34998548264457,1.68031787499305
"BR",2010,5.38800757128374,5.03338357217484,5.76152742579749
"BR",2011,6.65748453432371,5.80283756010456,7.61675224113899
"BR",2012,3.15448553304321,2.68916456437129,3.73541566623545
"CF",2006,5.35498934055772,4.80021073843121,5.94849356674943
"CF",2007,6.98550652636815,6.12951694587095,7.94544090569976
"CF",2008,4.70295598961535,4.18471869006459,5.27840471758093
"CF",2009,3.86218031437713,3.42512346867504,4.36825281240961
"CF",2010,5.31137502858113,4.87443247260461,5.78275215746873
"CF",2011,4.48485177072382,4.05712638636982,4.95909135319212
"CF",2012,5.57872731278386,4.80950652733321,6.51225195476204
"CP3",2006,6.941602961192,6.3083692977301,7.62709391817548
"CP3",2007,4.52317787286555,4.09332607171944,5.01739432709955
"CP3",2008,6.80303015096922,5.9112573679393,7.85331634387059
"CP3",2009,4.86347444868344,4.35643175873024,5.45467112885227
"CP3",2010,6.04069611270642,5.56453574890647,6.56873708076999
"CP3",2011,6.91930326788028,5.84951986454499,8.27824820397245
"CP3",2012,4.09318051010511,3.27146976515306,5.09481138764863
"DEM",2006,14.2284813677852,12.4858573878317,16.3460578590402
"DEM",2007,6.49255650412669,5.31361401423916,8.16939910528
"DEM",2008,1.70146304224604,1.36449450018854,2.09953191363884
"DEM",2009,5.29376836294046,4.71215760866471,5.92341452942764
"DEM",2010,6.87190391539613,6.242581493083,7.58580958049476
"DEM",2011,4.0112156520442,3.56434410445506,4.47331804491091
"DEM",2012,6.6133962745647,5.57961913213273,7.89231651960961
"DLW",2006,7.45567113710445,6.57763944382101,8.45782671665521
"DLW",2007,4.75803355614344,4.23322045913634,5.35208592821532
"DLW",2008,6.52440214936665,5.52049072975812,7.77794796859098
"DLW",2009,7.36767281134388,6.43019761123672,8.44995139562576
"DLW",2010,7.06493372421345,6.29992295464444,7.8982590473414
"DLW",2011,8.34640952103376,7.22415885023183,9.74970618196959
"DLW",2012,4.98191692071866,4.02653910228909,6.1939111385899
"EC",2006,3.98965178946153,3.69813423694028,4.30965668969984
"EC",2007,2.84188760859707,2.54416723919811,3.17130598592373
"EC",2008,4.2355474571614,3.62284855154795,4.97252366520412
"EC",2009,2.26898770140117,2.04782835902039,2.50302665008984
"EC",2010,3.59399220915751,3.36118671089158,3.86013439747078
"EC",2011,3.61939460232626,3.33597905230911,3.95547479462744
"EC",2012,2.50948021991613,2.07978266018309,3.02479222804206
"FR",2006,7.1318357352809,6.42308217898305,8.00079427273773
"FR",2007,4.92371540693,4.36716137058329,5.55742294101037
"FR",2008,5.55500267664728,4.90303895813843,6.33876748799582
"FR",2009,6.13788801483798,5.36611693968262,6.99916033483853
"FR",2010,4.40149581845006,4.09505485084178,4.72483340765845
"FR",2011,5.23007310813052,4.66734356348673,5.89365083545357
"FR",2012,5.32533724794799,3.95675503999095,7.15121872481471
"GCN",2006,6.07808312091905,5.45828311971555,6.80380925371264
"GCN",2007,3.45293842677686,3.10400805577005,3.82987933348289
"GCN",2008,5.48824961605059,4.85050913465252,6.21475294959306
"GCN",2009,3.62740449482626,3.22316662035498,4.08284884090225
"GCN",2010,7.12922721289898,6.41439674920468,7.91930160662125
"GCN",2011,2.53018195959882,2.26592707286085,2.81858241237517
"GCN",2012,3.40193275557726,3.05222595762839,3.79304183265395
"KYE",2006,6.34665396134223,5.68648521158634,7.10185574739966
"KYE",2007,2.9610867486544,2.684900909521,3.25794865204536
"KYE",2008,3.19659625952439,2.92897772179816,3.48926491724486
"KYE",2009,2.56408325979314,2.29353332427283,2.85750164884277
"KYE",2010,4.37548665055702,4.07492412882368,4.69247888210777
"KYE",2011,3.46690310272047,3.10278027406824,3.8766417537454
