"site","year","med","ci.lo","ci.hi"
"BG",2006,0.133306920499232,0.0267617490171604,0.494667108310413
"BG",2007,0.10347192315938,0.0106854447202395,0.572567999001977
"BG",2008,0.202090683454101,0.0162608316458465,0.807672395099915
"BR",2006,0.0992750148451774,0.0161224980168699,0.405038400649957
"BR",2007,0.0985319781562876,0.0124317641989149,0.481288497449688
"BR",2008,0.134305003060048,0.0107779031570786,0.665220195853298
"CF",2006,0.110090343749043,0.0172064308661788,0.441637882943233
"CF",2007,0.0388454537240671,0.003646990729335,0.314201336990498
"CF",2008,0.167259873601096,0.0127257814143344,0.747187176849194
"CP3",2006,0.128866922373044,0.0168480260428494,0.51796232347144
"CP3",2007,0.120442101914417,0.00867254716138764,0.638124333233206
"CP3",2008,0.139404088824782,0.0120192251536474,0.717313710014737
"DEM",2006,0.0932202613054487,0.0114953421833455,0.456460226681189
"DEM",2007,0.0673343574861643,0.00944507306094302,0.365864707923567
"DEM",2008,0.16447373382578,0.0109139400047518,0.771157569833625
"DLW",2006,0.126794649882066,0.0184045985585695,0.466761504401165
"DLW",2007,0.0531141910930411,0.00378694028972466,0.431222710148835
"DLW",2008,0.0875301523670074,0.00820587248447082,0.540480816802343
"EC",2006,0.149030306917489,0.0449022612199576,0.373493955525821
"EC",2007,0.140722526387274,0.0141053370730009,0.636250493699899
"EC",2008,0.29611850774391,0.0262753343486139,0.852816396854339
"FR",2006,0.122853497808664,0.017888308591191,0.469002268706845
"FR",2007,0.0562221138004015,0.00608938477722764,0.367393825153944
"FR",2008,0.120029098708049,0.00823585659669052,0.708924631068774
"GCN",2006,0.251297758179214,0.0331190409137325,0.780643807322689
"GCN",2007,0.234665408033356,0.0312350924406476,0.735806706321059
"GCN",2008,0.181524124392681,0.0246595358847661,0.675522423525019
"KYE",2006,0.130022606019859,0.0116833741148061,0.591691601874874
"KYE",2007,0.0741854109471433,0.00639534750598516,0.456737052104788
"KYE",2008,0.0652977413952691,0.00515628458355377,0.502506358069973
"LCE",2006,0.17973020335753,0.0263603629432921,0.588499425458159
"LCE",2007,0.0393680656646641,0.00253222043243031,0.318560341469835
"LCE",2008,0.0203312665314488,0.00124253599592663,0.244753803158758
"LCW",2006,0.138187552600914,0.0415565353589408,0.349003325750369
"LCW",2007,0.0306233296599629,0.00196350399543085,0.348995241815504
"LCW",2008,0.0401143180724022,0.00334450639899278,0.277158390501289
"LO",2006,0.0845736118467061,0.0096430547045365,0.403402395382376
"LO",2007,0.134980239035027,0.00986443398022337,0.699220461155078
"LO",2008,0.0182859065643683,0.00110753365938625,0.208599111104513
"MC",2006,0.131795053675309,0.0243010000764044,0.395449285329213
"MC",2007,0.0535439808326221,0.00492174532504317,0.394344708313451
"MC",2008,0.102449200766779,0.0073300778610886,0.653469544000427
"OKRE",2006,0.0936533912920832,0.0185164925573905,0.346028379817798
"OKRE",2007,0.0459468331137113,0.00251256653971115,0.422388606110008
"OKRE",2008,0.120171012772215,0.00887954559534665,0.684877635643339
"OKRW",2006,0.0892424448696021,0.0106415084180445,0.431200127794445
"OKRW",2007,0.10764542875475,0.00891584317540606,0.635910644732705
"OKRW",2008,0.101758590159083,0.0158436102129185,0.375845235893678
"OSR",2006,0.194360938076565,0.0169157195815209,0.777760627578514
"OSR",2007,0.142918603230902,0.0114243562038381,0.686961017344247
"OSR",2008,0.191718799332893,0.0129508299258458,0.784531049808372
"S22",2006,0.14320336134858,0.0186137340293249,0.586860177799313
"S22",2007,0.102791782024707,0.015442125592614,0.453381222230453
"S22",2008,0.4852349314652,0.0979141215787205,0.893463727611819
"SM",2006,0.172434330871826,0.0592791079395056,0.394896239083129
"SM",2007,0.163961832494494,0.0145690234495422,0.6967789615415
"SM",2008,0.222678505534096,0.0160801466948123,0.84321505924744
"URS",2006,0.0786194964839875,0.00577859002992511,0.506508672859703
"URS",2007,0.0949930937686773,0.00899006601505115,0.483194197506787
"URS",2008,0.0440938168136988,0.0026129686783156,0.450843114655062
