"site","year","med","ci.lo","ci.hi"
"BG",2006,0.788561518037093,0.348478562654072,0.942331017961514
"BG",2007,0.761313454615487,0.421555278274885,0.929951209637548
"BG",2008,0.696667143016948,0.316955019005064,0.917584585113991
"BR",2006,0.928537708456234,0.65955739236214,0.989166603271428
"BR",2007,0.8820995258986,0.644585975110091,0.969994506397194
"BR",2008,0.698485855391186,0.278454647075309,0.912485303987329
"CF",2006,0.677552933021607,0.294694625341292,0.906084872460514
"CF",2007,0.892127878407166,0.519829013562451,0.970545579094491
"CF",2008,0.54615257743605,0.110544488785411,0.916951744774278
"CP3",2006,0.809483903051198,0.296904784027619,0.969651446261075
"CP3",2007,0.888204635704187,0.674679156405032,0.961566865807189
"CP3",2008,0.812535226730707,0.319641900897234,0.963505393555076
"DEM",2006,0.650616138106372,0.136848871607397,0.933970384103248
"DEM",2007,0.913841103426171,0.761768153623594,0.965848675897175
"DEM",2008,0.339529248467407,0.110760754445684,0.688811550268252
"DLW",2006,0.729318445405009,0.321840611644563,0.927407257450909
"DLW",2007,0.90563548286149,0.709797192687273,0.97182236862504
"DLW",2008,0.772866861029439,0.278503351655377,0.958283699539997
"EC",2006,0.600445730580177,0.0861590213519185,0.906022834517568
"EC",2007,0.815809363192074,0.43605681827014,0.9494859414675
"EC",2008,0.681611247838398,0.197594481348635,0.929666670128813
"FR",2006,0.765613344599498,0.241377450272322,0.958133715294421
"FR",2007,0.846715170667952,0.331699503532432,0.972814288922351
"FR",2008,0.646836205626974,0.25099637926235,0.912221386351127
"GCN",2006,0.335449450725122,0.05294756842023,0.803990657643452
"GCN",2007,0.748947525659029,0.353442152082918,0.93302119550124
"GCN",2008,0.632344492298967,0.284256681833862,0.869468165204543
"KYE",2006,0.720354032323931,0.154211341516624,0.952708087991364
"KYE",2007,0.888798074208544,0.664635044763082,0.963228407979636
"KYE",2008,0.742584307286457,0.305194429449094,0.939295326392653
"LCE",2006,0.685347407826702,0.183870576876488,0.930946156708167
"LCE",2007,0.8433466654006,0.430417541207991,0.972768206460877
"LCE",2008,0.638106278864448,0.250162790027464,0.890626512796394
"LCW",2006,0.787604659314878,0.216404057366445,0.963446880422304
"LCW",2007,0.918265960696679,0.784854964674187,0.969656588641741
"LCW",2008,0.450574033126507,0.0814394397641332,0.861175351697118
"LO",2006,0.862382971270034,0.342050448724116,0.976803039227799
"LO",2007,0.683570720946288,0.233720834748478,0.92430850933823
"LO",2008,0.551542361056512,0.123910036544938,0.906539821313218
"MC",2006,0.69099318943914,0.139063448881417,0.954875519602727
"MC",2007,0.910552387706124,0.572000554340314,0.98426915986132
"MC",2008,0.309366222122539,0.0338156617063498,0.815516298379239
"OKRE",2006,0.813243873593126,0.456629959506066,0.954301256881408
"OKRE",2007,0.797329072337068,0.39981179853569,0.949971991567365
"OKRE",2008,0.427679022269139,0.277054532291209,0.598375914027538
"OKRW",2006,0.786973968265076,0.221368777979664,0.96816899939997
"OKRW",2007,0.911349635292382,0.512477619662167,0.987020392968133
"OKRW",2008,0.410055880953644,0.0628114826249473,0.854985752162382
"OSR",2006,0.475726914950929,0.0665232488957797,0.896711755645912
"OSR",2007,0.835480705981257,0.490987798516665,0.954447382001078
"OSR",2008,0.643498979894333,0.179432156400469,0.910057784375462
"S22",2006,0.703059373940502,0.169410112656391,0.946378373127994
"S22",2007,0.901535423632359,0.653303281295612,0.967408001847829
"S22",2008,0.480792433807762,0.224861937937262,0.741936062085596
"SM",2006,0.613512338963963,0.210415587394315,0.888360713037642
"SM",2007,0.755157341572582,0.452562841831605,0.923041328177639
"SM",2008,0.282409754910748,0.0564075517230099,0.682356575422784
"URS",2006,0.661857269913296,0.23198574165462,0.90891703673347
"URS",2007,0.802002562901624,0.31291177938861,0.959447499920604
"URS",2008,0.520656318782054,0.166156723132238,0.851025417420681
