"site","year","med","ci.lo95","ci.hi95","ci.lo50","ci.hi50"
"BG",2006,0.0464420352011683,0.00228297406083315,0.434022682637915,0.0177056590418168,0.113142757997574
"BG",2007,0.278490604003942,0.0380416710080956,0.743479826485221,0.162640894239666,0.421815384622481
"BG",2008,0.258996067258324,0.0422055475872937,0.735913616750635,0.156810371396627,0.387190800545297
"BG",2009,0.0262717040272008,0.00179158030328007,0.283207842706416,0.0113265602045406,0.0625416839247481
"BG",2010,0.401993142670819,0.0425573895364959,0.89955216011141,0.221557215909748,0.616801538432689
"BG",2011,0.118452049076421,0.00906958234569802,0.674219282774036,0.0512247147380669,0.247770463329468
"BG",2012,0.0854114771956957,0.00623796640157639,0.442116228514101,0.0439767428265833,0.147516735275653
"BG",2013,0.0194995633494666,0.00179569801849338,0.138581116722904,0.0104003073749022,0.0355294640768918
"BG",2014,0.242355068030572,0.0221556817934975,0.756630512008601,0.124895948053294,0.394018811984554
"BG",2015,0.00274783460799972,0.000246610289955106,0.0195947493806317,0.00135575573283949,0.0052665490809219
"BR",2006,0.233046957007291,0.0329620278935329,0.732682658234936,0.124764915090457,0.379603085264103
"BR",2007,0.188750005670319,0.0184561381259696,0.719690910307922,0.0935560411266919,0.347464830665016
"BR",2008,0.270486428222502,0.0534265593460518,0.700680347776499,0.173207910110371,0.394296650238095
"BR",2009,0.148688040378132,0.0218137908522178,0.564383734755416,0.0829752513290811,0.244032895934878
"BR",2010,0.538065032326451,0.12295498561702,0.89702481986751,0.37131665611786,0.691745764228129
"BR",2011,0.12421581334622,0.0104561862619691,0.627407358194554,0.0563786604483523,0.247145057079829
"BR",2012,0.0377589226048753,0.00416999694565283,0.208041280684229,0.0192458712049811,0.0676628314062384
"BR",2013,0.040605177829649,0.00754713771353695,0.146245146495088,0.0263970875566351,0.0585732489631791
"BR",2014,0.324138590759332,0.0378594542219317,0.829710647387303,0.197126318894755,0.507500032971718
"BR",2015,0.00833432566573566,0.000769706521902336,0.0539328231430577,0.00429333768206925,0.0149194705085843
"CF",2006,0.0555993459142934,0.00687859346264262,0.323047170202347,0.0302650451941516,0.0998132754400446
"CF",2007,0.247417416357341,0.0242828041525122,0.744989447070035,0.125024094833582,0.390479066683631
"CF",2008,0.22127292137655,0.0299998461438483,0.738933191592377,0.120579314051429,0.364646830528423
"CF",2009,0.196303275941645,0.0458117854117409,0.556641822623293,0.124731029210855,0.294294026849167
"CF",2010,0.296341576793819,0.0485010036564318,0.770537424370817,0.17261545051962,0.454695561371806
"CF",2011,0.226710226188419,0.0366546037254071,0.713665256313493,0.132647642934756,0.362968452509761
"CF",2012,0.142986233473469,0.0306259595058314,0.408852061040886,0.106765385762424,0.192504985152868
"CF",2013,0.0320837799402486,0.00385366180383893,0.189255466242415,0.0179467492906903,0.0531862860697514
"CF",2014,0.208931905964655,0.0271803780341026,0.718489884456157,0.119224197327304,0.341094010661597
"CF",2015,0.0767048033915129,0.00857388953322031,0.347117180397185,0.0448916913384648,0.130401567164495
"CP3",2006,0.11856005759891,0.00945518254248862,0.63921809452542,0.053319879957616,0.245997717320872
"CP3",2007,0.0860836350333447,0.00663905149966491,0.614374291574272,0.0363386362146531,0.197173426794178
"CP3",2008,0.112754539004172,0.0163695932655461,0.418265564226109,0.0674742485907537,0.163338623880419
"CP3",2009,0.304625239932725,0.0333923878345027,0.840411052018672,0.17483821237224,0.469532476479346
"CP3",2010,0.292851596787258,0.042670870001232,0.71079296436132,0.1831945655099,0.413265807231213
"CP3",2011,0.188381132462342,0.020379744370643,0.675663885783363,0.107092619994033,0.314351969549179
"CP3",2012,0.157570635949524,0.0097210278115728,0.737139700903138,0.0748403648879047,0.270157993156455
"CP3",2013,0.0874746839526968,0.00832642509942832,0.446425091669746,0.0432033373167896,0.152524523648557
"CP3",2014,0.130527469139587,0.0108010581156256,0.678415047070414,0.0570119438685299,0.262456450085263
"CP3",2015,0.0654549831253076,0.00483388120230452,0.353242573621611,0.0306123810859312,0.121763204775482
"DEM",2006,0.109595209727781,0.00786338452075505,0.657981598518576,0.0460707457684344,0.232824299041785
"DEM",2007,0.16115724093215,0.0160206843358862,0.631011172779433,0.0818748160503148,0.277004270824165
"DEM",2008,0.0886605565388701,0.00571737419234436,0.600598362929701,0.0342823481536948,0.194007167752399
"DEM",2009,0.164249652508018,0.0225943656180948,0.602755043105659,0.0888704793884661,0.277267722605883
"DEM",2010,0.125328828973052,0.0121430998028285,0.632729709463107,0.0576704710899793,0.238424641470846
"DEM",2011,0.11788088271477,0.00813637815224566,0.675792227959143,0.0516620156958226,0.254160207261139
"DEM",2012,0.0641884655611073,0.00559115848623904,0.427461586185549,0.0287210822825543,0.129397700110518
"DEM",2013,0.0369256396690977,0.00425719862108455,0.212370841606128,0.0206175015849159,0.0600610566663028
"DEM",2014,0.216540726685147,0.0260430647649659,0.704056083941557,0.124652586907289,0.353634976434488
"DEM",2015,0.0737712844535682,0.00767994924882743,0.340152057628258,0.0427515031992998,0.11624156774518
"DLW",2006,0.0628423062019609,0.00980337918951743,0.234305173593221,0.0426604587893565,0.0924918693178835
"DLW",2007,0.148448285181237,0.0190666405655718,0.526907045192883,0.0895319853674719,0.235709648450211
"DLW",2008,0.15200461609817,0.0188915701965844,0.537829296971611,0.0945017341163234,0.236744258582771
"DLW",2009,0.118934321404775,0.0136147291089029,0.503164225556867,0.0669148820798791,0.185189272335844
"DLW",2010,0.515442346742275,0.182850909987405,0.837200041935013,0.429206657100917,0.606432118429374
"DLW",2011,0.270198275562231,0.023899510446442,0.855478444667449,0.134393691968586,0.474553416467305
"DLW",2012,0.192215580055302,0.0256515390946548,0.572503664880509,0.122879382619344,0.272431609020372
"DLW",2013,0.0204023244332277,0.00279895083432509,0.115617204851772,0.0117829027602538,0.033195537621238
"DLW",2014,0.0869145590386808,0.0036085024597018,0.651507782654258,0.0307481998950725,0.206331199102943
"DLW",2015,0.0339992468557675,0.00172614243856214,0.22362608023811,0.0152632226645803,0.066300165241018
"EC",2006,0.124476054321805,0.021547378220627,0.457292948005678,0.0772194389441297,0.204448440506316
"EC",2007,0.402351618802748,0.106098457870863,0.801831988955525,0.288463860807012,0.532034051040808
"EC",2008,0.431619277315066,0.109900955700988,0.807907104344769,0.319397418989574,0.541951350426282
"EC",2009,0.150104177434481,0.0164742150676124,0.628386560185247,0.0774515869118564,0.275763859367794
"EC",2010,0.287862442068176,0.0447697792609896,0.763296859953931,0.172112211324178,0.443855308075901
"EC",2011,0.212391649935065,0.0332475076877027,0.663604074778867,0.122908410112231,0.339603927676392
"EC",2012,0.0139378271153377,0.00124181681366229,0.112310217355746,0.00678276126182125,0.0282344817066214
"EC",2013,0.0344777519143038,0.0041458653958527,0.175432346184602,0.0195806978987244,0.0568233064771584
"EC",2014,0.13259597184794,0.00678039043027864,0.719691232161989,0.0510310991295699,0.282992053138176
"EC",2015,0.122006192105056,0.019042603870999,0.360463242968695,0.0819502157152132,0.165562891648012
"FR",2006,0.0579055656867096,0.0056484947562046,0.380429710519277,0.0272395458259688,0.114277134127202
"FR",2007,0.288301402481035,0.0261263249426717,0.872815068786078,0.134826404753327,0.528853618469476
"FR",2008,0.0329988686506078,0.00264397712395873,0.292599094270144,0.0158090168717949,0.0667345533035066
"FR",2009,0.327288631890671,0.158714773404624,0.523588183351006,0.277687424316634,0.371306955436335
"FR",2010,0.274765918246318,0.0372260796761012,0.796184461463184,0.15226804144757,0.438804119548625
"FR",2011,0.0918392311523377,0.00804343965943612,0.587031265315153,0.0405695016031816,0.203082546253997
"FR",2012,0.0314267690560793,0.00274919874658656,0.174539195402396,0.015838048410275,0.054094816568716
"FR",2013,0.0070939561631778,0.00067836692709664,0.0464988318711783,0.00337925517304908,0.0132945929143196
"FR",2014,0.0385368037541185,0.00210896020902869,0.348982877217339,0.0153999152256011,0.0848443795063578
"FR",2015,0.0166236489252355,0.0015097764950476,0.120499283817499,0.00835920961116629,0.0330467013411342
"GCN",2006,0.0338095442295851,0.00200996448242833,0.410684624606403,0.0121090856572722,0.0853670660590621
"GCN",2007,0.00658428060933821,0.000457755860827716,0.0463841464193607,0.00284004179928701,0.0145568240329638
"GCN",2008,0.0275103188962368,0.00224192823993454,0.167010818285069,0.0140922824202785,0.0529128480818823
"GCN",2009,0.144908588968318,0.0143926629067504,0.603258011115389,0.0778981743499846,0.242356534634245
"GCN",2010,0.215793137401115,0.0176857785542852,0.794103434162531,0.0884938735872506,0.408593475356731
"GCN",2011,0.0956985096299968,0.00654158004977022,0.608159979250199,0.0386270128669581,0.212071596079022
"GCN",2012,0.0978375322729797,0.0162665817655215,0.327570036019777,0.0627419605824354,0.134734573774191
"GCN",2013,0.00555809383043412,0.000604233431006257,0.0297296296236952,0.00302365710966419,0.0094242614787779
"GCN",2014,0.0403915726876402,0.00214901162343562,0.484354499684281,0.0167531825612369,0.0996671772790634
"GCN",2015,0.0220017394442453,0.00189645736751428,0.171145556883491,0.0115208178740802,0.0414646458682175
"KYE",2006,0.0367201235522757,0.0029782542120949,0.309924692151329,0.0159274268177937,0.0822706721539863
"KYE",2007,0.113409000247307,0.00832383787206801,0.664608337804512,0.0496086076194896,0.240919879438514
"KYE",2008,0.494625177058453,0.167840232051943,0.811723294537438,0.38518050684774,0.598542274259891
"KYE",2009,0.0913356373324847,0.0120697490419288,0.474052893307542,0.0475879015234948,0.172061008344568
"KYE",2010,0.435388664577067,0.05662487706073,0.908096363455019,0.243121043996431,0.641680943918634
"KYE",2011,0.216435247226787,0.0246227192571884,0.787111212800761,0.10964374296698,0.398935282588767
"KYE",2012,0.010932280056664,0.00138996511297414,0.0452491863153546,0.00671964353370969,0.0160105267232435
