"site","year","med","ci.lo","ci.hi"
"BG",2006,3.14524974161472,2.7814471526207,3.58593416717518
"BG",2007,3.79636852669659,3.32683349540592,4.38860181475663
"BG",2008,3.62792272800551,3.25033266762627,4.06254332481578
"BG",2009,3.0625135325998,2.71567542325057,3.46436697503363
"BG",2010,4.67579216076461,4.17452070046218,5.27434909315212
"BG",2011,4.16899853180082,3.55812362588503,4.91094401842694
"BG",2012,6.21574544464192,5.05155365735965,7.67459918612147
"BR",2006,6.53288272955567,6.00580042709524,7.12249579424008
"BR",2007,3.25526717341338,2.92964255396999,3.61538712875134
"BR",2008,2.39570812676961,2.25580232307174,2.54511625461427
"BR",2009,1.51099583874356,1.35253338799573,1.67057210703218
"BR",2010,5.38774357067187,5.04384210383421,5.78343889384526
"BR",2011,6.62959621588907,5.77514724195124,7.6406829197364
"BR",2012,3.16688605816455,2.6781256273915,3.7242702588437
"CF",2006,5.35029258670749,4.81298889262281,5.97461693662265
"CF",2007,6.98035470786916,6.14753777571776,7.96574733826679
"CF",2008,4.69390342843536,4.17469726730254,5.28987774470717
"CF",2009,3.84967875232406,3.40520689491434,4.36294702390271
"CF",2010,5.31882078260476,4.86698433711511,5.82315008009173
"CF",2011,4.48510755728852,4.0674748152279,4.95060787647791
"CF",2012,5.56771912643433,4.80164215519103,6.49066399791028
"CP3",2006,6.92410598761138,6.2996245728954,7.63059702037606
"CP3",2007,4.53167719151097,4.09838657368138,5.00744326436709
"CP3",2008,6.78941294299579,5.92366574879408,7.85897901461258
"CP3",2009,4.86737460169928,4.35735517467415,5.46466640613874
"CP3",2010,6.03341484847305,5.55191430209831,6.57467512659591
"CP3",2011,6.9042451971212,5.82331173082065,8.3046167511127
"CP3",2012,4.09570598229943,3.25175584614158,5.10482596826723
"DEM",2006,14.2401856574421,12.4577318708578,16.3395731569775
"DEM",2007,6.52386302825645,5.25182203644849,8.14230949899586
"DEM",2008,1.69440727390367,1.36300248426225,2.08075837229537
"DEM",2009,5.28525726130602,4.73384821213049,5.92594325717949
"DEM",2010,6.86028570751168,6.22531522886451,7.63957473464198
"DEM",2011,4.0056305449115,3.57924104679863,4.51070027267846
"DEM",2012,6.62166524075475,5.55117918287158,7.90106233590893
"DLW",2006,7.44801704784496,6.56495025817243,8.48016925376549
"DLW",2007,4.75579624112921,4.24173274515215,5.33840036329378
"DLW",2008,6.56309150566937,5.53961135920156,7.81428580111022
"DLW",2009,7.36202562431865,6.42617298795383,8.49343724266068
"DLW",2010,7.06481793947129,6.3185207587059,7.97555381924833
"DLW",2011,8.35573002280158,7.19022906106466,9.72583270083539
"DLW",2012,5.02304735220714,4.07262751191767,6.22744973712811
"EC",2006,3.99469280437978,3.69863929271181,4.32377862322086
"EC",2007,2.83414667560071,2.53796934938353,3.16755936124268
"EC",2008,4.24966438051145,3.64762389155053,4.93912981695582
"EC",2009,2.2687430064529,2.0483272539753,2.49743795357804
"EC",2010,3.59419279958995,3.34976066606084,3.85761507462479
"EC",2011,3.62843800009052,3.33447452037409,3.947506448564
"EC",2012,2.50327040165706,2.08630497569639,3.00385010885112
