"site","year","med","ci.lo","ci.hi"
"BG",2006,0.133413011891108,0.0210005363896716,0.502143317462805
"BG",2007,0.104094364890648,0.00671970718304193,0.661195706452735
"BG",2008,0.183284186772761,0.00225526770936184,0.949828019816824
"BR",2006,0.099186384666796,0.0148860737321738,0.428526587044377
"BR",2007,0.100348295440717,0.0085469764767189,0.573807864395391
"BR",2008,0.126965809158881,0.00382315107010494,0.823699601224149
"CF",2006,0.106951430203229,0.0133119230727903,0.468628839272165
"CF",2007,0.0361740380066147,0.00110548693561266,0.550264004384108
"CF",2008,0.145362931014596,0.00208240350294119,0.906908001368384
"CP3",2006,0.128185845453582,0.0128081656029266,0.60070849674739
"CP3",2007,0.116418535206877,0.00443058539832219,0.791387789186037
"CP3",2008,0.136271899697233,0.00433704206135053,0.84013646484996
"DEM",2006,0.0900500530655802,0.0059207895009731,0.576331979456228
"DEM",2007,0.065279475216722,0.00822628517806761,0.387676289602552
"DEM",2008,0.129032871978822,0.00119551627279445,0.925543797446444
"DLW",2006,0.133355085495442,0.0169914937668941,0.519056339248016
"DLW",2007,0.0526686747818621,0.0011166081304813,0.736753801404098
"DLW",2008,0.0861982392104358,0.00249912688515976,0.747034290945156
"EC",2006,0.144412206196535,0.044615978921244,0.34446616889504
"EC",2007,0.136740802852913,0.00889963081538901,0.745221595867962
"EC",2008,0.267308983261901,0.00964593017823528,0.921542700708305
"FR",2006,0.127282524398816,0.0148774057029406,0.50862648970912
"FR",2007,0.0534806502874992,0.00356067348236293,0.509778480632303
"FR",2008,0.095725712543979,0.000452051892853906,0.945667534853935
"GCN",2006,0.242301340333274,0.0199320319251079,0.828514396615523
"GCN",2007,0.227991180134757,0.0227099523766375,0.784345723024929
"GCN",2008,0.181418824772962,0.0177915095434747,0.727188560602969
"KYE",2006,0.12537326638831,0.00663762432079904,0.683555026836125
"KYE",2007,0.070498870532313,0.0038134154303133,0.589400305777587
"KYE",2008,0.0598430504405256,0.000794022919159007,0.819037616337061
"LCE",2006,0.184245901956928,0.0264379030632695,0.608105382300591
"LCE",2007,0.0358846263695391,0.00108815820793639,0.523119680991749
"LCE",2008,0.0150278072441116,8.19337710788511e-05,0.642892053770374
"LCW",2006,0.141279370441511,0.0394497271101064,0.371178348847499
"LCW",2007,0.0273422681766993,0.000356288352406704,0.654664714682087
"LCW",2008,0.0339954095927826,0.000290601562097386,0.643753348523085
"LO",2006,0.0849201998135692,0.00887076517985959,0.428457918420645
"LO",2007,0.117577515174831,0.00146473066588831,0.904822990577655
"LO",2008,0.0148767123451013,7.43692289641685e-05,0.680077346076237
"MC",2006,0.132851595211933,0.0232683857976283,0.412693143828049
"MC",2007,0.0517496787937093,0.0028276211491082,0.539682260201318
"MC",2008,0.0874716858878975,0.000483627470990001,0.937770867331155
"OKRE",2006,0.0902352261974207,0.016690521910649,0.340370493210916
"OKRE",2007,0.0416374702416211,0.000549631940045869,0.768864479079767
"OKRE",2008,0.0957718032485797,0.000523869062466784,0.934469626466929
"OKRW",2006,0.0901604852915916,0.00958655358201355,0.493748994384987
"OKRW",2007,0.101801151979357,0.0023536591476816,0.814692628271225
"OKRW",2008,0.0996961254968822,0.0127538514826772,0.404578837689181
"OSR",2006,0.186236132224257,0.00554141668104134,0.887238107566935
"OSR",2007,0.135416757947858,0.00354256854526547,0.872507069652326
"OSR",2008,0.177537261232073,0.00315829838119421,0.934978630288117
"S22",2006,0.145099613995411,0.0118470378897424,0.675599116828614
"S22",2007,0.103019297547919,0.0126219180771878,0.486851965288781
"S22",2008,0.497409103945445,0.0897620351218137,0.8990793169746
"SM",2006,0.17200394313772,0.0575498901577891,0.410225694065318
"SM",2007,0.157828673499217,0.00685494106762671,0.831152883588291
"SM",2008,0.195588987965147,0.000732605742037876,0.985743170464653
"URS",2006,0.0709547943002263,0.000626238320749653,0.847874784938104
"URS",2007,0.0944684761671229,0.00484482383603298,0.618652656887215
"URS",2008,0.032713473694877,5.87435276773614e-05,0.926995154590977
