"site","year","med","ci.lo","ci.hi"
"BG",2006,0.787853987572303,0.201701582343123,0.957500518869171
"BG",2007,0.764141058748364,0.417668071437001,0.933962417358452
"BG",2008,0.688358288211571,0.313972744907351,0.913356562046052
"BR",2006,0.92338075520356,0.187535809077981,0.996891205295159
"BR",2007,0.888939624870059,0.556606835542777,0.979014428515264
"BR",2008,0.6904143619458,0.245653435266474,0.935509470121655
"CF",2006,0.679487237796692,0.244684458979756,0.937575193831893
"CF",2007,0.889559693956167,0.33265758517801,0.977255741225273
"CF",2008,0.536470425551218,0.0771768017845502,0.928548914620855
"CP3",2006,0.821874647443509,0.127670698253705,0.983772003995979
"CP3",2007,0.892059614376466,0.684318737091645,0.964526369633427
"CP3",2008,0.819046072069487,0.223903006565871,0.975134984556813
"DEM",2006,0.641516455412596,0.0641218476837566,0.96292514945213
"DEM",2007,0.914920466674348,0.760934519804805,0.97547481056211
"DEM",2008,0.336908982882122,0.101201964591874,0.68633442904527
"DLW",2006,0.728249044651852,0.299903180281758,0.929445737990962
"DLW",2007,0.908763567876934,0.686630097625612,0.975834453092502
"DLW",2008,0.76699154201714,0.179206892399242,0.971802217881537
"EC",2006,0.621641090636798,0.0212862785821596,0.946499315490581
"EC",2007,0.805566515008128,0.375332776642868,0.957212605536324
"EC",2008,0.676943198131469,0.154321245884139,0.938942251112602
"FR",2006,0.757616233666538,0.14079750988259,0.973509194188047
"FR",2007,0.850846213449567,0.214724069030721,0.97704397687588
"FR",2008,0.653279389379906,0.200739053898831,0.921604424989768
"GCN",2006,0.340958687280917,0.042922176187923,0.841291976284991
"GCN",2007,0.747082509530749,0.331601914087121,0.937219227937313
"GCN",2008,0.633468983693884,0.282762671160713,0.871853574646883
"KYE",2006,0.722896329672796,0.0413904937892834,0.979438653885974
"KYE",2007,0.892632521983672,0.62359316047218,0.969781680495319
"KYE",2008,0.753250339929002,0.25606140574022,0.947357423787756
"LCE",2006,0.674976742390859,0.086375335583551,0.956189033385378
"LCE",2007,0.815970714457333,0.190358717899205,0.979470004243396
"LCE",2008,0.630002785528292,0.238255094021204,0.899934179297934
"LCW",2006,0.796046964135064,0.0429809472589096,0.980311778423838
"LCW",2007,0.921461654544197,0.767882891205724,0.974463980282605
"LCW",2008,0.417312337070464,0.0407049937168233,0.914474364975686
"LO",2006,0.850496377958232,0.0574482030667158,0.988457312460813
"LO",2007,0.684751052391132,0.224501518761996,0.930539274027314
"LO",2008,0.53749668111082,0.0907034548242101,0.91460278102771
"MC",2006,0.682249050290186,0.0328156108115565,0.98236145480586
"MC",2007,0.910753858580107,0.470021113609436,0.988508820789659
"MC",2008,0.306823315233139,0.0121501057606637,0.889020404237942
"OKRE",2006,0.808766308185721,0.424683224563865,0.956513995682482
"OKRE",2007,0.798206710423878,0.401801628633616,0.953466859889628
"OKRE",2008,0.427351916607707,0.272030066751503,0.593172803529666
"OKRW",2006,0.761145768993894,0.0663936659029202,0.987019500745013
"OKRW",2007,0.913978100680461,0.204102890236695,0.994086758166887
"OKRW",2008,0.386171123526081,0.0369672768119562,0.906716887771416
"OSR",2006,0.515420766068359,0.0163927986218038,0.952695487060315
"OSR",2007,0.827155022946293,0.468444226114881,0.957492914096932
"OSR",2008,0.652072251342174,0.160134940620992,0.929750613291528
"S22",2006,0.699066082725174,0.0888993096641473,0.961598387419662
"S22",2007,0.90435249061792,0.651599917721908,0.969928870053416
"S22",2008,0.478700725667661,0.225814521837613,0.738985015470123
"SM",2006,0.602970939163066,0.177756250389,0.900498280726907
"SM",2007,0.759094953608896,0.378241973622636,0.938460870336838
"SM",2008,0.279320939214389,0.0493980063715585,0.720885252312773
"URS",2006,0.658626200545273,0.185656610314653,0.928967794632417
"URS",2007,0.799905264149452,0.222749865192464,0.974277103025017
"URS",2008,0.518586287298411,0.164967309717726,0.852147510679062
