"site","year","med","ci.lo95","ci.hi95"
"BG",2006,0.0458431430158327,0.00273597955954587,0.419332520284752
"BG",2007,0.278113760678105,0.0376800040949608,0.763050784492331
"BG",2008,0.259093873929819,0.0422444020654675,0.720859695483338
"BG",2009,0.027702565349406,0.00194467676861431,0.297403169479837
"BG",2010,0.392800228148812,0.0452096918690777,0.898698478668989
"BG",2011,0.122346653698131,0.00960164369520351,0.673871198509663
"BG",2012,0.0879178425228229,0.00791514083351265,0.448298491171493
"BG",2013,0.021701466295671,0.0020312589968346,0.126924812149164
"BG",2014,0.284255031172633,0.0274708955924583,0.777957827736305
"BG",2015,0.00266911809958915,0.00029484001941673,0.0197659448361593
"BG",2016,0.15892995155549,0.0135774066000419,0.670871604115891
"BG",2017,0.032978115770794,0.00277210429305519,0.270894540070236
"BG",2018,0.341348630360256,0.0294366693604654,0.825989108889148
"BG",2019,0.126704156325431,0.0131309276664166,0.593327293666643
"BR",2006,0.242703987104245,0.0314625933535444,0.74378364099985
"BR",2007,0.194447606885296,0.0215766961264017,0.727842973143801
"BR",2008,0.269364983599369,0.0549430877973274,0.703333380566007
"BR",2009,0.149326549026678,0.0228191565775045,0.562985308049522
"BR",2010,0.544261037061641,0.123297612036095,0.905569247476822
"BR",2011,0.125743213478946,0.0109988867274701,0.62557131750983
"BR",2012,0.0378887500327027,0.00460618212481835,0.209699038185075
"BR",2013,0.0411070850873883,0.00773301183805523,0.143782974835614
"BR",2014,0.375813258082548,0.0466839444749491,0.852512960665954
"BR",2015,0.00926667008788474,0.000878070306656376,0.0527935946133022
"BR",2016,0.46420812195023,0.0463055187505954,0.909511398035294
"BR",2017,0.0906645361862934,0.00790652109228476,0.543128578447306
"BR",2018,0.496002205619933,0.059050298810349,0.933761198064482
"BR",2019,0.635690345522859,0.127200658530667,0.953126415563812
"CF",2006,0.0571239714858208,0.00718273654895202,0.336001274449007
"CF",2007,0.241822708972063,0.0255423123222269,0.758680808075
"CF",2008,0.219081202954737,0.026658152824507,0.727817142975918
"CF",2009,0.196189656709535,0.0446775421191744,0.556326488704253
"CF",2010,0.294304561738023,0.0468903287334314,0.774420721160563
"CF",2011,0.223581805170359,0.0336888100350554,0.698454036442434
"CF",2012,0.147732554455,0.0379893700938559,0.388957054233178
"CF",2013,0.0339247992799501,0.00434559913937691,0.189264576944358
"CF",2014,0.219793899663323,0.0208840211276415,0.736489263967985
"CF",2015,0.077402983790364,0.00971779642921845,0.365067371811366
"CF",2016,0.279827763019174,0.0344685098981086,0.708704640174314
"CF",2017,0.147770645780738,0.0138997613597307,0.663988614652107
"CF",2018,0.152061034928575,0.0104440487830489,0.768684220221516
"CF",2019,0.150305889589438,0.0217226636845229,0.60079706092569
"CP3",2006,0.120854436741578,0.00932171045590732,0.644745802602703
"CP3",2007,0.0881970950858606,0.00597375743735396,0.595730870944665
"CP3",2008,0.106979981288212,0.0172944062465833,0.373514215007923
"CP3",2009,0.297188777036282,0.0321538393541372,0.823504296668032
"CP3",2010,0.284282343266447,0.0401510092163325,0.718377281536119
"CP3",2011,0.190116796481916,0.0243128299788318,0.684204883473403
"CP3",2012,0.118597165999293,0.0072732536307766,0.723676913459109
"CP3",2013,0.0774709001042015,0.00718346470125973,0.401541399063522
"CP3",2014,0.124731171056182,0.00930746863837161,0.670780110436017
"CP3",2015,0.0541631147686017,0.0039325606227142,0.365296001854388
"CP3",2016,0.116856950033419,0.00986042352209845,0.650932544515933
"CP3",2017,0.133066060323652,0.013743288433439,0.595484402792604
"CP3",2018,0.0902710561344201,0.00587826460283404,0.585080715000606
"CP3",2019,0.0916766253107553,0.0105366208371516,0.391621123446333
"DEM",2006,0.112146181170298,0.00792886242307018,0.653532210942178
"DEM",2007,0.164540773047535,0.0194145392187568,0.639043772914644
"DEM",2008,0.0898575491164478,0.00597415485264105,0.616676787925337
