"site","year","med","ci.lo","ci.hi"
"BG",2006,30.8073225403609,26.5414055512308,35.9892295652885
"BG",2007,32.5096721026002,28.3804103202131,37.3637655653165
"BG",2008,25.2385779194819,22.0653098847547,28.6367356700855
"BG",2009,23.6500576237458,20.1565332820451,27.6771600789558
"BG",2010,30.7952621539869,27.9289143216484,33.6637692537197
"BG",2011,27.7562747992859,24.3149978908923,31.4185105493954
"BG",2012,18.5546411273088,15.0695974806904,23.310937976881
"BG",2013,30.1947425902326,25.2553105644113,35.6640466671626
"BG",2014,9.72364772925456,8.08615583041023,11.9818581878461
"BG",2015,22.6110739445944,16.8986353379043,31.1066303833215
"BG",2016,29.3978863400913,26.8195979949836,32.2073823054434
"BG",2017,31.9137322649617,29.3251461579656,34.9471855147301
"BG",2018,28.0623174389037,23.2430445615268,34.0600414504739
"BR",2006,32.0863392181474,28.2186169563566,36.4228488233237
"BR",2007,32.3947619547812,27.1076103178604,38.8503920058001
"BR",2008,23.8669439635567,19.5903316339703,29.6006538905459
"BR",2009,21.0686627880042,16.936538658389,26.9272726057171
"BR",2010,30.7252300338394,26.9646120571653,35.3902911904558
"BR",2011,29.145578498844,25.033502688507,34.115918275369
"BR",2012,29.5217446654291,25.380862866279,34.4774818880553
"BR",2013,26.3812900331361,23.6563072044037,29.266293387978
"BR",2014,11.9032594023725,9.30600359044452,16.4326707656986
"BR",2015,25.3879158553539,20.7076044282404,31.5910493033556
"BR",2016,36.9378638398834,33.1011207071754,41.1851946884046
"BR",2017,32.8491888359449,29.2116753890243,37.1427529623945
"BR",2018,29.4254197168723,24.0087662893008,36.4155833501423
"CF",2006,31.3948381313325,27.4009051759163,35.9101752006969
"CF",2007,29.3153065016689,24.9472983816732,34.8212974084058
"CF",2008,23.7481344438919,19.2912890717091,29.9234989093872
"CF",2009,24.5023476491301,21.0522603373036,28.7934629149332
"CF",2010,28.9199527768509,24.9851555995873,33.470923421146
"CF",2011,25.246941875751,21.8794274020988,29.4208967600994
"CF",2012,23.4733934524005,19.5960451330659,27.9826390287527
"CF",2013,23.79510573163,19.2339906565316,29.832966009512
"CF",2014,13.8941742214864,9.8572666593859,23.9403773006125
"CF",2015,25.3527616366726,20.4151556226135,31.5092525966935
"CF",2016,31.3226710214585,26.2093459965459,37.0591958709533
"CF",2017,24.9516740741581,21.8456949153966,28.5677274075947
"CF",2018,30.2295375471875,24.9730280073648,36.7397845880982
"CP3",2006,45.6419970244137,39.5733602609966,52.8234989321318
"CP3",2007,41.7325664949323,35.7391516321933,48.6442047451429
"CP3",2008,33.5685495673499,26.2625328310236,43.0981061348169
"CP3",2009,44.7989116177786,40.9114861316357,49.0148397732636
"CP3",2010,43.5037060048529,38.5517897336861,48.8809868425283
"CP3",2011,43.0113348011354,36.6933397860721,50.852719511343
"CP3",2012,31.0242305034955,23.6788346742377,40.9413256816178
"CP3",2013,26.1389328388475,22.4204263179247,30.748894817592
"CP3",2014,13.7653003885745,10.2129066274398,20.4473583446905
"CP3",2015,23.5748052295301,18.2419755673107,31.3170558751214
"CP3",2016,39.4140123601729,34.3008197242585,45.8527083505588
"CP3",2017,37.8571233478766,33.9871613810927,42.125907534063
"CP3",2018,38.2437348706207,28.322286778999,52.4686733478903
"DEM",2006,39.9945133484597,34.1885034241641,46.8899343858746
"DEM",2007,29.8778212591494,25.9993793041262,34.7302390597319
"DEM",2008,32.938052990722,27.2898519117468,39.8557710259627
"DEM",2009,30.1243034224122,26.5310854450229,34.0950478191105
"DEM",2010,37.5774257693118,32.5057375990453,43.4976177193969
"DEM",2011,18.0010744168405,14.5133540521736,22.5852348927008
"DEM",2012,13.2718888595928,10.0415313476078,18.1414507565274
"DEM",2013,17.369368854884,12.7288229675571,24.3209584804488
"DEM",2014,10.2721740323149,8.26841449315249,12.9791497785166
"DEM",2015,35.3340347444014,30.0486594802246,41.6881412851425
"DEM",2016,38.5740782132258,32.6950243692928,45.4023497951408
"DEM",2017,38.2406075030268,33.6841566335413,43.3887477219305
"DEM",2018,37.5221052299433,31.542031101575,44.4545558868338
"DLW",2006,42.5892855392844,37.6868092984337,50.0283580493523
"DLW",2007,42.5156238810331,37.7979974857656,50.4134314834634
"DLW",2008,37.9143615689815,28.0645692530179,44.6658154972118
"DLW",2009,42.396610206389,37.2422882778822,51.1574228689689
"DLW",2010,41.1157661068908,35.4614553826071,48.9688605820442
"DLW",2011,40.7454790144106,35.5275056240064,47.4993344421945
"DLW",2012,39.2255441285424,33.1386114083177,45.2428769323835
"DLW",2013,37.5168875460213,30.0906518723198,43.1042310598981
"DLW",2014,39.9362550753343,29.7712263456527,50.6189248679958
