"","site","year","mu","ci.lo95","ci.hi95","med","hpdi.lo95","hpdi.hi95"
"1","BG",2006,2.64,2.29,3.01,2.64,2.28,3.01
"2","BG",2007,2.8,2.38,3.24,2.79,2.38,3.23
"3","BG",2008,2.9,2.57,3.25,2.9,2.57,3.25
"4","BG",2009,2.61,2.26,2.97,2.61,2.26,2.97
"5","BG",2010,3.86,3.36,4.38,3.85,3.35,4.37
"6","BG",2011,2.81,2.35,3.32,2.8,2.33,3.29
"7","BG",2012,4.75,3.68,5.92,4.74,3.67,5.9
"8","BR",2006,4.93,4.48,5.4,4.93,4.46,5.38
"9","BR",2007,2.65,2.34,2.97,2.65,2.35,2.98
"10","BR",2008,2.07,1.93,2.2,2.07,1.93,2.2
"11","BR",2009,1.5,1.38,1.63,1.51,1.37,1.63
"12","BR",2010,4.39,4.08,4.72,4.39,4.08,4.72
"13","BR",2011,4.13,3.54,4.77,4.13,3.53,4.75
"14","BR",2012,2.32,1.92,2.78,2.32,1.9,2.75
"15","CF",2006,3.75,3.33,4.2,3.75,3.33,4.2
"16","CF",2007,5.13,4.4,5.9,5.12,4.39,5.88
"17","CF",2008,3.36,2.95,3.79,3.36,2.95,3.79
"18","CF",2009,3.03,2.65,3.44,3.03,2.65,3.44
"19","CF",2010,3.92,3.57,4.29,3.92,3.56,4.28
"20","CF",2011,3.56,3.19,3.93,3.56,3.19,3.93
"21","CF",2012,4.32,3.64,5.06,4.3,3.61,5.02
"22","CP3",2006,5.28,4.76,5.85,5.27,4.74,5.82
"23","CP3",2007,3.73,3.34,4.13,3.73,3.33,4.12
"24","CP3",2008,4.92,4.24,5.66,4.91,4.21,5.63
"25","CP3",2009,3.85,3.41,4.31,3.85,3.42,4.32
"26","CP3",2010,5.34,4.86,5.83,5.34,4.85,5.82
"27","CP3",2011,4.58,3.82,5.43,4.57,3.8,5.4
"28","CP3",2012,3.9,3.05,4.77,3.9,3.05,4.76
"29","DEM",2006,9.41,8.13,10.8,9.39,8.04,10.7
"30","DEM",2007,3.21,2.51,4,3.19,2.48,3.96
"31","DEM",2008,1.64,1.28,2.04,1.63,1.27,2.03
"32","DEM",2009,4.15,3.66,4.68,4.15,3.65,4.67
"33","DEM",2010,4.28,3.83,4.75,4.28,3.82,4.74
"34","DEM",2011,3.62,3.17,4.08,3.61,3.18,4.08
"35","DEM",2012,4.87,4.02,5.79,4.86,3.99,5.76
"36","DLW",2006,4.9,4.28,5.56,4.89,4.27,5.54
"37","DLW",2007,4.14,3.64,4.65,4.14,3.64,4.65
"38","DLW",2008,4.25,3.52,5.03,4.25,3.5,5
"39","DLW",2009,5.2,4.46,6.01,5.18,4.44,5.99
"40","DLW",2010,5.33,4.7,6.01,5.32,4.69,5.99
"41","DLW",2011,6.16,5.14,7.3,6.14,5.12,7.28
"42","DLW",2012,3.6,2.85,4.44,3.59,2.83,4.41
"43","EC",2006,3.35,3.08,3.64,3.35,3.07,3.63
"44","EC",2007,2.42,2.13,2.72,2.42,2.13,2.71
"45","EC",2008,3,2.52,3.53,2.99,2.51,3.52
"46","EC",2009,1.9,1.69,2.11,1.9,1.68,2.11
"47","EC",2010,3.07,2.84,3.31,3.07,2.85,3.31
"48","EC",2011,2.83,2.58,3.09,2.83,2.58,3.09
"49","EC",2012,2.09,1.7,2.5,2.09,1.69,2.49
"50","FR",2006,4.86,4.31,5.46,4.86,4.29,5.43
"51","FR",2007,3.75,3.28,4.23,3.75,3.29,4.23
"52","FR",2008,4.11,3.6,4.66,4.1,3.59,4.64
"53","FR",2009,4.37,3.84,4.96,4.36,3.82,4.93
"54","FR",2010,3.66,3.38,3.94,3.66,3.38,3.94
"55","FR",2011,4.22,3.73,4.76,4.22,3.72,4.74
"56","FR",2012,4.12,3.12,5.22,4.1,3.08,5.15
"57","GCN",2006,4.44,3.93,4.99,4.43,3.91,4.96
"58","GCN",2007,3.05,2.69,3.43,3.05,2.68,3.41
"59","GCN",2008,4.36,3.8,4.96,4.36,3.79,4.94
"60","GCN",2009,3.26,2.83,3.7,3.25,2.83,3.69
"61","GCN",2010,5.1,4.53,5.7,5.09,4.51,5.68
"62","GCN",2011,2.09,1.85,2.34,2.08,1.85,2.33
"63","GCN",2012,3.09,2.73,3.46,3.09,2.72,3.45
"64","KYE",2006,4.27,3.8,4.77,4.27,3.8,4.78
"65","KYE",2007,2.67,2.39,2.97,2.67,2.39,2.96
"66","KYE",2008,2.63,2.38,2.89,2.63,2.38,2.9
"67","KYE",2009,2.21,1.94,2.48,2.21,1.94,2.48
"68","KYE",2010,3.76,3.48,4.05,3.76,3.48,4.05
"69","KYE",2011,2.78,2.46,3.13,2.78,2.45,3.12
"70","KYE",2012,3.32,2.71,3.97,3.31,2.7,3.96
"71","LCE",2006,8.39,7.47,9.38,8.38,7.45,9.35
"72","LCE",2007,11.2,9.85,12.6,11.1,9.82,12.5
"73","LCE",2008,3.2,2.69,3.74,3.19,2.69,3.73
"74","LCE",2009,3.23,2.77,3.7,3.22,2.78,3.71
"75","LCE",2010,4.77,4.19,5.39,4.77,4.18,5.38
"76","LCE",2011,4.8,3.34,6.53,4.76,3.29,6.45
"77","LCE",2012,6.85,1.01,21.1,4.98,0.184,15.9
"78","LCW",2006,12.3,10.9,13.8,12.3,10.9,13.8
"79","LCW",2007,4.28,3.77,4.82,4.28,3.76,4.81
"80","LCW",2008,2.06,1.84,2.28,2.06,1.84,2.28
"81","LCW",2009,4.32,3.66,5.04,4.31,3.66,5.04
"82","LCW",2010,4.19,3.74,4.66,4.19,3.74,4.67
"83","LCW",2011,7.87,5.76,10.4,7.8,5.6,10.2
"84","LCW",2012,21.8,6.08,37.7,22.4,4.53,35.3
"85","LO",2006,5.38,4.38,6.47,5.36,4.38,6.46
"86","LO",2007,13.8,11.2,16.7,13.7,11,16.6
"87","LO",2008,4.08,3.61,4.56,4.08,3.6,4.55
"88","LO",2009,1.96,1.8,2.12,1.96,1.8,2.11
"89","LO",2010,5.41,4.79,6.08,5.41,4.77,6.06
"90","LO",2011,4.01,3,5.16,3.98,2.95,5.11
"91","LO",2012,5.42,2.59,9.53,5.17,2.33,8.99
"92","MC",2006,7.18,6.14,8.31,7.16,6.13,8.3
"93","MC",2007,4.51,3.91,5.14,4.51,3.9,5.12
"94","MC",2008,3.83,3.3,4.38,3.82,3.3,4.39
"95","MC",2009,4.74,4.04,5.49,4.73,3.99,5.44
"96","MC",2010,5.46,4.92,6.04,5.46,4.93,6.04
"97","MC",2011,4.46,3.92,5.04,4.45,3.91,5.02
"98","MC",2012,4.26,3.56,5.01,4.25,3.57,5.02
"99","OKRE",2006,3.41,2.82,4.06,3.4,2.8,4.02
"100","OKRE",2007,3.08,2.36,3.85,3.07,2.34,3.82
"101","OKRE",2008,3.66,2.79,4.65,3.65,2.77,4.61
"102","OKRE",2009,3.56,3.11,4.05,3.56,3.1,4.03
"103","OKRE",2010,5,4.31,5.73,4.99,4.29,5.7
"104","OKRE",2011,5.92,5.09,6.8,5.92,5.07,6.77
"105","OKRE",2012,4.39,2.17,7.92,4.17,1.8,7.25
"106","OKRW",2006,4.95,4.5,5.41,4.95,4.49,5.41
"107","OKRW",2007,2.53,2.03,3.07,2.52,2,3.03
"108","OKRW",2008,3.57,2.74,4.48,3.55,2.69,4.42
"109","OKRW",2009,2.85,2.34,3.4,2.85,2.33,3.4
"110","OKRW",2010,4.21,3.71,4.72,4.2,3.71,4.72
"111","OKRW",2011,8.3,6.88,9.87,8.28,6.85,9.82
"112","OKRW",2012,3.22,1.77,5.19,3.13,1.58,4.93
"113","OSR",2006,3.68,3.3,4.07,3.67,3.3,4.07
"114","OSR",2007,3,2.73,3.27,2.99,2.72,3.27
"115","OSR",2008,3.69,3.28,4.12,3.69,3.27,4.11
"116","OSR",2009,4.52,4.01,5.06,4.52,4,5.04
"117","OSR",2010,3.17,2.85,3.5,3.17,2.84,3.49
"118","OSR",2011,3.43,3.04,3.84,3.42,3.04,3.84
"119","OSR",2012,2.96,2.56,3.37,2.96,2.55,3.36
"120","S22",2006,4.07,3.68,4.48,4.07,3.68,4.48
"121","S22",2007,3.3,2.86,3.75,3.3,2.85,3.74
"122","S22",2008,2.38,1.97,2.81,2.38,1.97,2.8
"123","S22",2009,3.96,3.48,4.47,3.96,3.46,4.44
"124","S22",2010,3.24,2.89,3.59,3.24,2.88,3.58
"125","S22",2011,9.88,8.31,11.6,9.87,8.27,11.5
"126","S22",2012,4.22,3.54,4.96,4.22,3.54,4.96
"127","SM",2006,5.28,4.68,5.9,5.27,4.67,5.88
"128","SM",2007,3.16,2.29,4.12,3.15,2.28,4.11
"129","SM",2008,2.59,2.12,3.07,2.58,2.11,3.05
"130","SM",2009,2.57,2.21,2.94,2.56,2.2,2.93
"131","SM",2010,2.21,1.92,2.52,2.21,1.91,2.52
"132","SM",2011,2.18,1.9,2.47,2.18,1.9,2.47
"133","SM",2012,2.7,2.14,3.3,2.7,2.12,3.28
"134","URS",2006,9.67,6.85,13.1,9.54,6.68,12.9
"135","URS",2007,6.58,4.91,8.48,6.54,4.81,8.36
"136","URS",2008,3.9,2.91,5.03,3.88,2.87,4.97
"137","URS",2009,7.41,5.78,9.22,7.37,5.75,9.18
"138","URS",2010,13.9,12.4,15.5,13.9,12.4,15.5
"139","URS",2011,8.56,6.56,10.8,8.51,6.45,10.7
"140","URS",2012,10.3,4.37,20.7,9.54,3.49,18.8
"141","BG",2013,1.43,0.904,2,1.42,0.882,1.98
"142","BG",2014,10.8,8.87,12.9,10.7,8.8,12.8
"143","BG",2015,4.73,3.4,6.26,4.7,3.32,6.16
"144","BG",2016,10.6,8.01,13.5,10.5,7.89,13.3
"145","BG",2017,7.79,6.24,9.53,7.76,6.15,9.43
"146","BG",2018,4.3,3.73,4.91,4.3,3.72,4.9
"147","BR",2013,0.591,0.403,0.811,0.585,0.402,0.809
"148","BR",2014,7.69,6.76,8.67,7.68,6.76,8.67
"149","BR",2015,2.41,1.81,3.07,2.4,1.81,3.08
"150","BR",2016,10.9,8.53,13.5,10.8,8.4,13.3
"151","BR",2017,10.6,9.31,12,10.6,9.26,12
"152","BR",2018,2.49,2.22,2.77,2.49,2.21,2.77
"153","CF",2013,1.57,1.07,2.14,1.55,1.04,2.1
"154","CF",2014,3.38,2.5,4.39,3.35,2.44,4.32
"155","CF",2015,5.51,4.05,7.21,5.47,3.94,7.07
"156","CF",2016,5.18,3.93,6.6,5.14,3.92,6.57
"157","CF",2017,9.35,8.2,10.5,9.33,8.2,10.5
"158","CF",2018,11.8,10.1,13.6,11.8,10.1,13.6
"159","CP3",2013,5.43,4.51,6.43,5.41,4.51,6.44
"160","CP3",2014,12.3,10.2,14.7,12.3,10.2,14.6
"161","CP3",2015,1.73,1.38,2.1,1.72,1.38,2.09
"162","CP3",2016,8.39,6.83,10.2,8.35,6.71,10
"163","CP3",2017,8.45,7.28,9.71,8.43,7.28,9.71
"164","CP3",2018,6.3,4.09,8.93,6.25,3.87,8.64
"165","DEM",2013,1.85,1.35,2.41,1.84,1.32,2.37
"166","DEM",2014,11,8.62,13.6,10.9,8.51,13.4
"167","DEM",2015,3.94,2.58,5.64,3.88,2.45,5.49
"168","DEM",2016,22.5,18.2,27.5,22.4,18.1,27.4
"169","DEM",2017,7.14,6.18,8.18,7.13,6.17,8.16
"170","DEM",2018,5.17,4.63,5.74,5.17,4.61,5.72
"171","DLW",2013,2.5,1.95,3.09,2.5,1.92,3.06
"172","DLW",2014,14.1,10.6,18.1,14,10.4,17.9
"173","DLW",2015,2.65,1.77,3.74,2.61,1.7,3.64
"174","DLW",2016,12.8,9.39,16.9,12.7,9.17,16.6
"175","DLW",2017,9.19,8.12,10.3,9.17,8.11,10.3
"176","DLW",2018,5.68,4.87,6.53,5.67,4.85,6.51
"177","EC",2013,2.17,1.71,2.63,2.17,1.71,2.63
"178","EC",2014,13.3,10.7,16.3,13.3,10.7,16.2
"179","EC",2015,3.66,2.93,4.47,3.65,2.9,4.44
"180","EC",2016,2.48,1.66,3.44,2.45,1.62,3.39
"181","EC",2017,5.87,4.92,6.93,5.85,4.87,6.86
"182","EC",2018,12.8,5.98,20.4,12.8,5.48,19.6
"183","FR",2013,3.4,1.51,6.21,3.25,1.23,5.7
"184","FR",2014,6.45,5.12,7.91,6.43,5.08,7.86
"185","FR",2015,3.35,2.31,4.6,3.32,2.26,4.53
"186","FR",2016,9.18,7.06,11.6,9.14,6.97,11.4
"187","FR",2017,4.45,3.84,5.11,4.45,3.81,5.08
"188","FR",2018,5.11,4.17,6.15,5.1,4.15,6.12
"189","GCN",2013,2.97,1.88,4.29,2.92,1.8,4.18
"190","GCN",2014,7.75,5.55,10.4,7.67,5.44,10.2
"191","GCN",2015,4.25,3.53,5,4.25,3.51,4.98
"192","GCN",2016,4.33,3.28,5.54,4.29,3.24,5.49
"193","GCN",2017,12.8,10.8,15,12.8,10.8,15
"194","GCN",2018,2.98,2.52,3.49,2.98,2.5,3.46
