"","site","mu","ci.lo95","ci.hi95","med","hpdi.lo95","hpdi.hi95"
"1","BG",0.527378297201881,0.119967420174398,0.852107649720078,0.538761984603359,0.15489430468998,0.874569298595011
"2","BR",0.646837372384002,0.230748235433054,0.895118484836168,0.67138101188542,0.315778923314082,0.936408357677186
"3","CF",0.669502478356583,0.220746095285553,0.928660507722025,0.692272555270335,0.325492586025196,0.971458716936688
"4","CP3",0.495038946789535,0.0885451090641714,0.831545624686716,0.506260404890956,0.105006860433623,0.845113859688288
"5","DEM",0.663544700683397,0.167539046226352,0.95040510640034,0.694918927389502,0.271026643315436,0.989818308627924
"6","DLW",0.603703987868241,0.115934992922867,0.929211913027982,0.630769705837658,0.186958892814133,0.969190999149614
"7","EC",0.594002775623078,0.167442982954623,0.886427612593448,0.611792935826612,0.231654032237394,0.923266189687589
"8","FR",0.742212188019668,0.274976497804313,0.949468043111644,0.776628473300399,0.40506263824885,0.98455627783446
"9","GCN",0.580647453588519,0.120323724407234,0.91455369448301,0.598484638406637,0.179278258328138,0.953159782931432
"10","KYE",0.605393762847615,0.133088099254652,0.90015613203014,0.632052377127179,0.201052829737037,0.936516272147037
"11","LCE",0.312307897611278,0.0394321791545654,0.748445746246412,0.287758097467387,1.32808601531841e-05,0.652016925234261
"12","LCW",0.734206638422703,0.207780675118889,0.952517074866719,0.780619892500185,0.332616004665835,0.985977684463206
"13","LO",0.468047864086473,0.0899498178237454,0.83897498688274,0.464440097811134,0.095536175420476,0.843730873244067
"14","MC",0.692700413995132,0.258540015872395,0.926922130104948,0.718061947413134,0.355234255552252,0.958220343149865
"15","OKRE",0.64951112406562,0.135049679180273,0.940653629816863,0.685903005904671,0.218652445307175,0.971656149983973
"16","OKRW",0.544864994711507,0.0844266349409591,0.921740229266877,0.556319491801774,0.134946860935133,0.959322806975213
"17","OSR",0.527740488123051,0.0435485386334299,0.921958455373494,0.553428560882913,0.0676048101338684,0.941782754732617
"18","S22",0.658371275335012,0.217736929649667,0.902542018321532,0.685500190642893,0.305685688989978,0.944170074126665
"19","SM",0.533358754593211,0.139786528023774,0.841290452125416,0.541952294343513,0.186434220053129,0.877502381894741
"20","URS",0.48987043756508,0.0676595318771474,0.858733307488087,0.498622654100741,0.0673684418088868,0.858315280003139
