"","site","year","mu","ci.lo95","ci.hi95","med","hpdi.lo95","hpdi.hi95"
"1","BG","2006",29.5,24.7,34.5,29.5,24.7,34.5
"2","BG","2007",31.5,26.8,36.2,31.5,26.7,36
"3","BG","2008",23.8,20.9,27,23.8,20.8,26.9
"4","BG","2009",22,18.5,25.8,22,18.5,25.8
"5","BG","2010",30.2,27.2,33.1,30.2,27.2,33.1
"6","BG","2011",26.6,23,30.3,26.5,22.9,30.2
"7","BG","2012",16.2,12.6,20.2,16.1,12.4,20
"8","BG","2013",27.7,22.7,33.1,27.6,22.6,33
"9","BG","2014",9.1,7.52,10.8,9.06,7.44,10.8
"10","BG","2015",17.1,11.7,23.9,16.8,11.4,23.5
"11","BG","2016",29,26.2,31.8,29,26.1,31.7
"12","BG","2017",31.4,28.5,34.3,31.4,28.7,34.4
"13","BG","2018",25.8,20.8,31.2,25.7,20.5,30.8
"14","BR","2006",31.2,27.1,35.4,31.2,27,35.3
"15","BR","2007",29.7,24.1,35.6,29.6,23.7,35.2
"16","BR","2008",20.9,16.4,26,20.8,16.2,25.7
"17","BR","2009",18,13.9,22.9,17.9,13.6,22.5
"18","BR","2010",29.2,25,33.7,29.1,24.8,33.5
"19","BR","2011",28.1,23.4,32.9,28.1,23.2,32.7
"20","BR","2012",27.5,23.2,32.1,27.4,23,31.9
"21","BR","2013",25.3,22.6,28.2,25.3,22.5,28.1
"22","BR","2014",9.93,7.68,12.7,9.84,7.53,12.5
"23","BR","2015",21.9,17,27.4,21.7,16.8,27.1
"24","BR","2016",35.9,31.8,40,35.8,31.8,39.9
"25","BR","2017",31.8,27.8,36,31.8,27.9,36
"26","BR","2018",25.8,20.1,31.9,25.7,20.1,31.9
"27","CF","2006",30.5,26.1,35,30.5,26,34.9
"28","CF","2007",25.3,20.6,30.5,25.3,20.4,30.2
"29","CF","2008",20.2,15.6,25.4,20.1,15.4,25.2
"30","CF","2009",22.7,18.9,26.7,22.6,18.7,26.4
"31","CF","2010",26.7,22.6,31,26.6,22.6,30.9
"32","CF","2011",23.6,20.1,27.4,23.5,20,27.3
"33","CF","2012",21.3,17.5,25.3,21.2,17.5,25.2
"34","CF","2013",20.3,15.7,25.6,20.2,15.6,25.5
"35","CF","2014",10.8,7.76,15.6,10.5,7.34,14.8
"36","CF","2015",21.9,16.9,27.6,21.8,16.8,27.3
"37","CF","2016",28.5,23.1,34.3,28.4,22.8,34
"38","CF","2017",23.4,20,27,23.3,19.8,26.8
"39","CF","2018",26.5,20.8,32.9,26.4,20.5,32.5
"40","CP3","2006",44.2,37.7,51,44.1,37.7,51
"41","CP3","2007",38.7,32.6,45,38.6,32.5,44.9
"42","CP3","2008",25.9,18.8,34.4,25.7,18.4,33.9
"43","CP3","2009",43.9,39.8,48.2,43.9,39.8,48.2
"44","CP3","2010",41.7,36.7,47.1,41.7,36.6,46.9
"45","CP3","2011",39.3,32.5,46.9,39.2,32.2,46.5
"46","CP3","2012",26.5,19,35.6,26.2,18.6,34.9
"47","CP3","2013",24.1,20.1,28.4,24,20.1,28.4
"48","CP3","2014",10.7,7.68,14.7,10.5,7.39,14.2
"49","CP3","2015",20.2,15.1,26.5,20.1,14.7,26
"50","CP3","2016",37.1,31.5,43.1,37,31.4,42.9
"51","CP3","2017",36.8,32.8,41,36.8,32.7,40.9
"52","CP3","2018",33.7,22.2,48.1,33.2,21.1,46.7
"53","DEM","2006",38.1,31.8,44.8,38,31.6,44.6
"54","DEM","2007",28,23.8,32.4,28,23.7,32.2
"55","DEM","2008",29.1,23.4,35.6,29,23.4,35.5
"56","DEM","2009",28.8,25.1,32.9,28.8,25,32.7
"57","DEM","2010",34.9,29.5,40.7,34.9,29.3,40.4
"58","DEM","2011",15.8,12.2,19.8,15.7,12,19.6
"59","DEM","2012",10.6,7.64,14.2,10.5,7.42,13.9
"60","DEM","2013",13.1,9.03,18,12.9,8.91,17.8
"61","DEM","2014",9.35,7.36,11.6,9.31,7.27,11.5
"62","DEM","2015",32.7,27.1,38.6,32.6,27,38.4
"63","DEM","2016",35.2,29,42.1,35.2,28.7,41.8
"64","DEM","2017",36.8,31.9,41.9,36.8,31.7,41.8
"65","DEM","2018",34.2,28.3,40.8,34.1,28.3,40.7
"66","DLW","2006",40.1,33.5,47.6,40,33.2,47.2
"67","DLW","2007",39,32.5,47,38.8,32.2,46.5
"68","DLW","2008",29.5,20.8,38.1,29.6,20.6,37.9
"69","DLW","2009",37.4,30.4,46.3,37,29.9,45.6
"70","DLW","2010",35.5,28.5,43.5,35.3,28.2,43.1
"71","DLW","2011",35.9,29.8,43,35.7,29.6,42.6
"72","DLW","2012",33.8,27.9,40,33.8,27.7,39.7
"73","DLW","2013",30.1,23.5,36.8,30.1,23.6,36.8
"74","DLW","2014",33.2,20.5,45.8,33.4,20.2,45.5
"75","DLW","2015",34.4,26.4,43.6,34.3,25.8,42.8
"76","DLW","2016",33.9,28.7,39.4,33.9,28.4,39.1
"77","DLW","2017",29.9,22,37.4,29.9,21.8,37.2
"78","DLW","2018",35.1,29.7,41.1,35,29.3,40.7
"79","EC","2006",37.7,32.1,43.7,37.6,31.9,43.5
"80","EC","2007",36.5,30.7,42.9,36.5,30.4,42.6
"81","EC","2008",31.6,27.3,36.2,31.5,27.2,36
"82","EC","2009",39.6,34.1,45.3,39.5,33.8,45
"83","EC","2010",32.3,26.5,38.8,32.3,26.1,38.4
"84","EC","2011",34.7,29.3,40.5,34.6,29.1,40.3
"85","EC","2012",28.6,23,35,28.5,22.9,34.8
"86","EC","2013",23.3,17,31.1,23,16.5,30.4
"87","EC","2014",21.9,18.7,25.4,21.8,18.6,25.3
"88","EC","2015",37.6,30.2,45.9,37.5,29.8,45.4
"89","EC","2016",42,37,47.1,41.9,36.9,47
"90","EC","2017",44.6,40.1,49.1,44.6,40,49.1
"91","EC","2018",32.4,20.5,48.3,31.8,19.1,46.3
"92","FR","2006",50.6,44.5,56.7,50.6,44.5,56.6
"93","FR","2007",40.1,29.6,52.4,39.8,29,51.6
"94","FR","2008",32,25.6,39.2,31.8,25.3,38.8
"95","FR","2009",46.2,39.4,53.3,46.1,39.2,53.1
"96","FR","2010",43,37.9,48.3,43,37.7,48.1
"97","FR","2011",32.7,28.5,37.1,32.7,28.4,37
"98","FR","2012",26.8,20.1,35.1,26.5,19.6,34.4
"99","FR","2013",26.4,10.3,52.3,24.8,8.19,47.7
"100","FR","2014",17.1,14.7,19.7,17,14.6,19.6
"101","FR","2015",26.1,20.1,33.3,26,19.7,32.7
"102","FR","2016",40.6,33.5,48.2,40.4,33.3,48
"103","FR","2017",36.6,33.2,40.2,36.6,33.1,40
"104","FR","2018",35.9,29.8,42.6,35.8,29.9,42.7
"105","GCN","2006",31.3,24.3,39.3,31.1,23.9,38.9
"106","GCN","2007",36.3,31.6,41.3,36.2,31.5,41.2
"107","GCN","2008",42.3,35.2,50,42.3,35.1,49.9
"108","GCN","2009",25.9,17.8,36,25.6,17.6,35.7
"109","GCN","2010",41.8,35.2,48.7,41.8,35.1,48.6
"110","GCN","2011",29.6,24.2,35.7,29.5,23.9,35.4
"111","GCN","2012",29.2,25.1,33.7,29.2,25.1,33.6
"112","GCN","2013",19,14.3,25.4,18.7,13.7,24.5
"113","GCN","2014",40.2,34.7,45.9,40.1,34.7,45.9
"114","GCN","2015",29.3,24,35.1,29.2,23.9,34.9
"115","GCN","2016",29.9,24.2,36.4,29.8,24.1,36.2
"116","GCN","2017",34.4,28.4,41.1,34.3,28.1,40.7
"117","GCN","2018",29.3,24.3,34.9,29.2,24.2,34.6
"118","KYE","2006",33.1,28.5,38,33,28.4,37.8
"119","KYE","2007",34,28.8,40.1,33.9,28.5,39.7
"120","KYE","2008",28.9,25.1,32.9,28.9,25,32.7
"121","KYE","2009",29.3,25.9,32.8,29.3,25.8,32.8
