"","site","year","mu","ci.lo95","ci.hi95","med","hpdi.lo95","hpdi.hi95"
"1","BG",2006,0.0887049330140184,0.00287936519627104,0.433415329871119,0.0457255969675613,0.000308103912161792,0.336845860277777
"2","BG",2007,0.30622004972032,0.0423806412532255,0.745668885159393,0.268370281395344,0.0176741802037673,0.67337134486859
"3","BG",2008,0.287037034419767,0.0381773958322111,0.715522650190447,0.258111460770818,0.00955827340759992,0.628219996851711
"4","BG",2009,0.0554658484615462,0.00207202430183219,0.291704856222026,0.0269599434710901,0.000339305488827943,0.206698158135615
"5","BG",2010,0.41785315462666,0.0433472513299029,0.911925444812574,0.392714032035318,0.0246281730186857,0.868601059631565
"6","BG",2011,0.184596993880177,0.00915768494499334,0.670203655819426,0.123156343258329,0.00119685953713262,0.579713947673762
"7","BG",2012,0.118127948061951,0.0074165252995058,0.449505953707723,0.089356906394825,0.000175591746053281,0.34170473485439
"8","BG",2013,0.031300465053936,0.00227992915244344,0.129551333611802,0.0214443548285395,9.64142391675421e-05,0.0940680289201959
"9","BG",2014,0.287217754548221,0.025055420630523,0.741183567741864,0.240716103727841,0.00355935553698838,0.680249588657701
"10","BG",2015,0.00497613730903933,0.00036449187966477,0.0184673534172249,0.00323032777610913,5.83227228338945e-05,0.0134383292891876
"11","BG",2016,0.20099419036098,0.012460855994882,0.693650581819494,0.148545096074863,0.0029119065859024,0.572970846673567
"12","BG",2017,0.0581600728931664,0.0027112188887146,0.27987490464026,0.0338565449301084,0.000154663023734427,0.194150660621443
"13","BG",2018,0.337354734926624,0.0243693076548776,0.799251975947294,0.302554483047616,0.0064989542513605,0.736502852072954
"14","BG",2019,0.169691289536857,0.0112264935543228,0.583575112441718,0.121151608152566,0.00200493345354427,0.484800947169126
"15","BR",2006,0.279758200087481,0.0299360255967274,0.753900598074518,0.23224628701741,0.00603269897819402,0.664219089411693
"16","BR",2007,0.247893705136056,0.0209337964441678,0.734537436028979,0.197716624696024,0.00277820950270159,0.639399289788687
"17","BR",2008,0.301463055257604,0.049320337757317,0.7151853391542,0.272237781655968,0.0209146528766909,0.637031213550923
"18","BR",2009,0.186796921254009,0.0251297912631945,0.558556897835073,0.146621902839759,0.00740889466603157,0.475763597460241
"19","BR",2010,0.5389040656455,0.113473285031693,0.908657316978828,0.549105494696628,0.138633443491973,0.926848993903368
"20","BR",2011,0.182306562691369,0.0129301357984531,0.603801643534267,0.129764063541125,0.000656830789625724,0.513931613185478
"21","BR",2012,0.054108334865647,0.00414557236957,0.208725652960008,0.0377448699587312,0.000634924881098532,0.160130258408308
"22","BR",2013,0.0483907343770792,0.00871204727053216,0.149915748357362,0.0410121472556223,0.00393942482824898,0.114758885176167
"23","BR",2014,0.379997477593904,0.0469801119549862,0.86701742954981,0.33866896082372,0.01656273179831,0.81425003695911
"24","BR",2015,0.0126541079331765,0.000836799723436081,0.0509716917311908,0.00909364859555057,0.000107358785332112,0.0337377331498056
